id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
610034,Beautiful central apt for 2 persons,3024661,Ida,,Södermalms,59.30875,18.06623,Entire home/apt,998,1,8,2013-08-20,0.09,1,0
610948,"Artistic bright apt, great location",2594467,Lina,,Södermalms,59.3209,18.05807,Entire home/apt,998,5,35,2019-09-15,0.40,1,0
620848,Green & Spacious 10 min from centre,870233,Hanna & K,,Älvsjö,59.28034,18.01079,Entire home/apt,626,2,32,2014-06-05,0.37,1,0
624886,Wonderful apt in trendy Hornstull!,3098275,Oskar,,Södermalms,59.31984,18.0363,Entire home/apt,1800,6,36,2019-07-31,0.42,1,36
628555,Bright & cosy home. South of city.,3113390,Anna,,Hägersten-Liljeholmens,59.29192,17.99227,Entire home/apt,401,2,73,2019-09-02,0.84,1,340
642333,Cozy near city apartment,3210035,Evelina,,Östermalms,59.34468,18.10957,Entire home/apt,528,1,1,2016-05-06,0.02,1,0
646635,Bedroom in 1900-century apartment,2243859,Kristina,,Norrmalms,59.34983,18.05782,Private room,646,2,15,2017-09-06,0.28,1,0
647119,Beautiful quiet apartment the heart of Sodermalm,3237232,Mallika,,Södermalms,59.3175,18.06455,Entire home/apt,1927,5,5,2017-07-25,0.07,3,206
647314,Large and beautiful bedroom in central Södermalm.,3237232,Mallika,,Södermalms,59.31714,18.06172,Private room,949,2,259,2019-09-07,3.01,3,299
648671,Dorm space in beautiful apartment,3237232,Mallika,,Södermalms,59.3172,18.06373,Shared room,753,2,9,2015-02-25,0.10,3,206
675792,Modern flat Urban development area,3432848,Birgitta,,Södermalms,59.30143,18.10316,Entire home/apt,998,6,0,,,1,0
688947,Fresh home with peace and silence.,3503054,Alexandre,,Skarpnäcks,59.26903,18.12907,Private room,499,2,103,2019-05-22,1.22,2,365
696589,Lovely Spacious 1BR Vasastan w WIFI,3567044,Louise,,Norrmalms,59.34919,18.04759,Entire home/apt,724,3,0,,,1,0
700113,Studio in the center of Stockholm,1001073,Ilona Margareta,,Norrmalms,59.34715,18.05517,Hotel room,861,2,285,2019-09-15,3.42,1,287
708979,Cosy apt close to nature and city,1842108,Samuel,,Skarpnäcks,59.29202,18.11267,Entire home/apt,744,6,7,2018-07-29,0.08,1,0
723539,"Lovely Apt-central, calm, nice area",2586493,Mathias,,Östermalms,59.33714,18.0784,Entire home/apt,900,4,123,2019-09-01,1.46,1,0
739726,Stockholm City- Centrally Located,2400487,Sanna,,Södermalms,59.31442,18.07951,Entire home/apt,822,3,84,2019-09-22,1.01,1,18
748847,Gorgeous apartment in 1885 building,3934547,Heath,,Södermalms,59.31612,18.07526,Entire home/apt,1252,120,16,2018-08-25,0.19,1,186
755843,Nice apartment in the city center,3978910,Pär,,Kungsholmens,59.32865,18.035,Entire home/apt,1340,2,106,2019-09-22,2.27,1,322
